score,raw_auroc_gap,gcal_auroc_gap,grp_auroc_gap,raw_ece_gap,gcal_ece_gap,grp_ece_gap,mean_ece_reduction_gcal,mean_ece_reduction_grp
sofa,0.12937083562356289,0.1292703087060212,0.1308645974920385,0.05599084970970045,0.04430673022286386,2.3955871888443416e-17,0.0665580110634209,0.09373246544993623
qsofa,0.08256761034493354,0.08123749127975988,0.08256761034493354,0.041086657943335436,0.04645741410909639,2.4260994202378198e-17,0.2963971375362358,0.3237758665342109
apache2,0.14683852361609673,0.14659758286635227,0.15101464881612792,0.06638081786754502,0.02595517779538524,8.052873024947605e-18,0.20240720875311288,0.2138492641995229
news2,0.11425691469393573,0.11487315223606687,0.11827774366415189,0.04847211782065192,0.04193094502468531,9.410009966552253e-18,0.3632290421567939,0.3907231353213678
