score,n_hospitals,within_hospital_gap_wmean,aggregate_gap,simpsons_paradox_ratio
sofa,78,0.19754734291838885,0.025271240166902187,7.817081457566026
qsofa,78,0.2057251395543484,0.03281108941374922,6.2699880811680995
apache2,78,0.18592337175716056,0.019429613143346125,9.56907223965146
news2,78,0.19412404443755496,0.027179575739589845,7.142276476184775
