score,hospitalid,n,race_auroc_gap,worst_race,best_race,n_races_with_data
qsofa,117,217,0.14377299189256754,Black,White,2
qsofa,70,2637,0.1438045634920634,White,Asian,4
qsofa,160,270,0.10912698412698418,Asian,White,4
qsofa,62,1327,0.14260914760914767,Asian,Black,4
qsofa,16,257,0.0480816402708899,White,Black,2
qsofa,199,536,0.09796923543229541,Other,Black,3
qsofa,54,959,0.07334980637453481,White,Black,3
qsofa,100,2062,0.25,Hispanic,Other,4
qsofa,14,772,0.2572580645161291,Black,Hispanic,3
qsofa,21,2314,0.15387277761585538,Black,Other,4
qsofa,99,391,0.2802718532512132,White,Black,3
qsofa,71,156,0.3446374239350912,White,Black,2
qsofa,24,857,0.18607092375488476,Black,Other,5
qsofa,200,340,0.37103174603174616,Black,Hispanic,5
qsofa,189,582,0.16375188196326418,White,Hispanic,5
qsofa,60,499,0.3111111111111109,Asian,Hispanic,5
qsofa,26,678,0.16543062200956937,Black,Hispanic,5
qsofa,133,977,0.061418853255587824,White,Hispanic,5
qsofa,27,801,0.4522664835164836,Other,Black,3
qsofa,8,373,0.0739372945894684,Black,White,2
qsofa,194,2196,0.19847438083252822,White,Asian,4
qsofa,176,2508,0.3484407484407485,Asian,Black,4
qsofa,39,1291,0.19150715436368804,White,Black,3
qsofa,101,375,0.10184426229508203,White,Black,2
qsofa,19,3739,0.2678571428571428,Asian,Hispanic,5
qsofa,94,173,0.3152524167561761,White,Other,3
qsofa,145,484,0.10837096387468026,White,Other,3
qsofa,40,298,0.052247843689491424,White,Black,2
qsofa,185,1636,0.10075888777339492,White,Black,3
qsofa,159,684,0.24511746680286017,Black,Other,3
qsofa,166,669,0.0483479986197376,White,Black,2
qsofa,157,1277,0.2579891045644471,White,Black,4
qsofa,64,494,0.2886946937490159,Asian,Other,4
qsofa,125,434,0.07628676470588247,Black,White,2
qsofa,92,422,0.0751543209876544,Other,Black,3
qsofa,13,966,0.05149549243282714,White,Asian,4
qsofa,37,718,0.3897677639288377,Asian,Black,4
qsofa,139,641,0.02722728622068571,White,Black,2
qsofa,135,439,0.057499999999999996,Other,Asian,4
qsofa,51,107,0.040419676642586944,Other,White,2
qsofa,18,1402,0.19197524610370964,White,Hispanic,4
qsofa,181,441,0.23770871985157704,Black,Hispanic,4
qsofa,196,2613,0.273004393641446,White,Asian,4
qsofa,47,837,0.057315921740118125,Black,White,2
qsofa,188,2985,0.18510698198198205,Hispanic,Black,4
qsofa,2,1240,0.29454545454545455,Black,Hispanic,4
qsofa,49,440,0.21754126632175408,White,Black,2
qsofa,35,909,0.010892270666294501,White,Other,2
qsofa,146,706,0.03125852328073264,White,Other,2
qsofa,30,503,0.33888888888888885,Hispanic,Other,4
qsofa,195,204,0.3129410042453521,White,Black,2
apache2,118,4156,0.25896263910969797,Asian,Other,5
apache2,83,788,0.12689393939393934,White,Other,3
apache2,77,579,0.28846153846153844,Black,Other,3
apache2,89,1005,0.1833968783510067,White,Black,3
apache2,168,251,0.08011168384879719,Other,White,2
apache2,138,1212,0.14174333328419586,White,Black,2
apache2,174,2130,0.2060831545949513,Black,Other,4
apache2,169,273,0.35079365079365077,Other,White,3
apache2,98,505,0.13147531954278835,White,Other,4
apache2,105,495,0.7278768373887271,Other,Hispanic,3
apache2,76,1244,0.12510087964350003,Black,Hispanic,5
apache2,116,988,0.15033382623112435,Hispanic,Other,4
apache2,5,372,0.19171428571428573,Hispanic,Other,3
apache2,119,294,0.12159409218232753,White,Other,3
apache2,79,1472,0.22834507042253516,Asian,Black,5
apache2,171,918,0.5,Asian,Hispanic,4
apache2,161,2662,0.25542946365333863,Hispanic,Black,5
apache2,128,1006,0.10314518814518825,Other,Hispanic,4
apache2,147,820,0.14688550592089644,White,Black,3
apache2,112,1242,0.41963141025641026,Other,Black,4
apache2,32,862,0.12389828996486596,Black,White,4
apache2,55,1819,0.11541894175060008,White,Asian,5
apache2,17,286,0.0254629629629628,White,Other,2
apache2,136,618,0.3212121212121213,Other,Hispanic,3
apache2,109,594,0.16334033613445387,White,Hispanic,4
apache2,10,696,0.07615385533584063,White,Black,2
apache2,204,1141,0.3571216365334014,Hispanic,White,4
apache2,117,217,0.8230829672488302,Black,White,2
apache2,70,2637,0.1682833627278072,Other,Asian,4
apache2,160,270,0.2548076923076923,Other,Asian,4
apache2,62,1327,0.1373943173943175,Black,Asian,4
apache2,16,257,0.034809097211112805,Black,White,2
apache2,199,536,0.16025422444494974,Other,Black,3
apache2,54,959,0.21010932730296772,White,Black,3
apache2,100,2062,0.16510547352505955,White,Other,4
apache2,14,772,0.11129032258064508,Hispanic,Black,3
apache2,21,2314,0.10670176333430503,Black,Other,4
apache2,99,391,0.14160281755423376,White,Black,3
apache2,71,156,0.10810725152129819,Black,White,2
apache2,24,857,0.3000088904694167,Hispanic,Other,5
apache2,200,340,0.3560606060606061,Asian,Hispanic,5
apache2,189,582,0.18701754385964908,Black,Hispanic,5
apache2,60,499,0.22564102564102573,Other,Hispanic,5
apache2,26,678,0.2110047846889952,Black,Hispanic,5
apache2,133,977,0.13273404599935212,Hispanic,Asian,5
apache2,27,801,0.14835164835164827,Black,Other,3
apache2,8,373,0.03866061474757132,Black,White,2
apache2,194,2196,0.12015164655841726,White,Asian,4
apache2,176,2508,0.1123253518687467,White,Black,4
apache2,39,1291,0.15737675305600285,White,Black,3
apache2,101,375,0.14371584699453555,White,Black,2
apache2,19,3739,0.1780440571290245,Black,Hispanic,5
apache2,94,173,0.15359828141783027,White,Other,3
apache2,145,484,0.21437749857224442,Black,Other,3
apache2,40,298,0.2727125506072874,White,Black,2
apache2,185,1636,0.07113238152426571,White,Other,3
apache2,159,684,0.047243369103057375,White,Other,3
apache2,166,669,0.12906573498964813,White,Black,2
apache2,157,1277,0.3275862068965517,Asian,Black,4
apache2,64,494,0.1906768837803321,Asian,Black,4
apache2,125,434,0.1251838235294117,Black,White,2
apache2,92,422,0.05228174603174607,Black,Other,3
apache2,13,966,0.14191282012540596,White,Asian,4
apache2,37,718,0.26206455736657086,Asian,Black,4
apache2,139,641,0.046178427366546426,White,Black,2
apache2,135,439,0.38645833333333335,Asian,Black,4
apache2,51,107,0.1515952872377021,Other,White,2
apache2,18,1402,0.24795602812844186,Black,Other,4
apache2,181,441,0.06806830130962604,White,Other,4
apache2,196,2613,0.1664746754316424,White,Asian,4
apache2,47,837,0.03530459752241055,White,Black,2
apache2,188,2985,0.17483108108108125,Hispanic,Black,4
apache2,2,1240,0.2372727272727273,Black,Hispanic,4
apache2,49,440,0.03987024718732035,Black,White,2
apache2,35,909,0.036209395402023725,Other,White,2
apache2,146,706,0.019872811778130273,Other,White,2
apache2,30,503,0.5222222222222223,Hispanic,Other,4
apache2,195,204,0.10567998828868397,Black,White,2
news2,118,4156,0.08090044135735475,Asian,Hispanic,5
news2,83,788,0.17093614718614725,White,Other,3
news2,77,579,0.25,Black,Other,3
news2,89,1005,0.27593679256523296,White,Black,3
news2,168,251,0.06867613779230575,White,Other,2
