model,n_seeds,overall_auroc_mean,overall_auroc_std,age_gap_mean,age_gap_std
GRU,3,0.8802848113158617,0.00037034515589371304,0.10115993696647212,0.0016386150336245406
FAFT,3,0.8842258036765482,0.00027739142449414176,0.09509500972078211,0.004925659656685533
GA-FAFT,3,0.8812547616606864,0.0009518044135237786,0.09427043282088317,0.0033054598517919904
