score,axis,metric,score_fairness_gap,ml_fairness_gap,improvement,pct_improvement
sofa,race_cat,eod,0.05858636072616574,0.08338987775695206,-0.024803517030786315,-42.33667482218026
sofa,race_cat,ppg,0.02748296203675621,0.02772632026481217,-0.00024335822805596208,-0.8854876258624904
sofa,race_cat,cal_gap,0.02074838276502342,0.020280786335608616,0.000467596429414803,2.2536524157586566
sofa,race_cat,auroc_gap,0.025271240166902187,0.021871531727044813,0.003399708439857374,13.452875353185007
sofa,race_cat,ece_gap,0.010057574862528198,0.018001534400939267,-0.00794395953841107,-78.98484124645309
sofa,sex,eod,0.05615793670893998,0.03744543109144988,0.018712505617490105,33.32121284027017
sofa,sex,ppg,0.013346470833582064,0.0016760139175232835,0.01167045691605878,87.442268908226
sofa,sex,cal_gap,0.011767764739918373,0.001744435571205139,0.010023329168713234,85.1761518881517
sofa,sex,auroc_gap,0.009430522612323466,0.004330988513732592,0.005099534098590874,54.074777276149966
sofa,sex,ece_gap,0.0013984210058910086,0.00973349647353236,-0.008335075467641352,-596.0347729710076
sofa,age_group,eod,0.212260119537663,0.5236077209800141,-0.3113476014423511,-146.6821003024575
sofa,age_group,ppg,0.11786205887329484,0.0661905506737389,0.051671508199555946,43.84066313919081
sofa,age_group,cal_gap,0.08054677595649093,0.024691490269825117,0.05585528568666581,69.34515382321106
sofa,age_group,auroc_gap,0.12937083562356289,0.1017518021986501,0.027619033424912787,21.348732341249878
sofa,age_group,ece_gap,0.044316925577237425,0.1669686565274163,-0.12265173095017887,-276.76046872072885
sofa,diag_type,eod,0.023996478108009645,0.09573272186729526,-0.07173624375928561,-298.9448844801154
sofa,diag_type,ppg,0.026573462637514603,0.030676629742416472,-0.00410316710490187,-15.44084472871555
sofa,diag_type,cal_gap,0.01941524628907974,0.011213806370366407,0.008201439918713332,42.24226567409705
sofa,diag_type,auroc_gap,0.023664317486228992,0.033934389247053165,-0.010270071760824173,-43.398977244117226
sofa,diag_type,ece_gap,0.010806798656829902,0.02924131987507908,-0.018434521218249178,-170.58262861775953
qsofa,race_cat,eod,0.11124891375138818,0.08338987775695206,0.02785903599443612,25.042074618987904
qsofa,race_cat,ppg,0.020519332574089222,0.02772632026481217,-0.007206987690722949,-35.12291476684563
qsofa,race_cat,cal_gap,0.015104815647461002,0.020280786335608616,-0.005175970688147614,-34.26702323915918
qsofa,race_cat,auroc_gap,0.03281108941374922,0.021871531727044813,0.010939557686704404,33.341037686241144
qsofa,race_cat,ece_gap,0.011774063200052554,0.018001534400939267,-0.0062274712008867136,-52.89143683939896
qsofa,sex,eod,0.05485276675443174,0.03744543109144988,0.01740733566298186,31.73465386151276
qsofa,sex,ppg,0.006211910177286381,0.0016760139175232835,0.0045358962597630975,73.01934719449797
qsofa,sex,cal_gap,0.004299642093485856,0.001744435571205139,0.0025552065222807173,59.42835395885545
qsofa,sex,auroc_gap,0.019393359866297755,0.004330988513732592,0.015062371352565163,77.66767314384194
qsofa,sex,ece_gap,0.00013486479204692268,0.00973349647353236,-0.009598631681485437,-7117.225730897834
qsofa,age_group,eod,0.15476732833271528,0.5236077209800141,-0.3688403926472988,-238.31928651916385
qsofa,age_group,ppg,0.130180798332246,0.0661905506737389,0.0639902476585071,49.15490493090378
qsofa,age_group,cal_gap,0.06736467550266495,0.024691490269825117,0.04267318523283983,63.34653127090575
qsofa,age_group,auroc_gap,0.08256761034493354,0.1017518021986501,-0.01918419185371656,-23.234524741085387
qsofa,age_group,ece_gap,0.04644659964305988,0.1669686565274163,-0.12052205688435641,-259.4852105656027
qsofa,diag_type,eod,0.050042869327183825,0.09573272186729526,-0.04568985254011143,-91.30142446746596
qsofa,diag_type,ppg,0.027936093016706603,0.030676629742416472,-0.002740536725709869,-9.810021480351413
qsofa,diag_type,cal_gap,0.011654701624787748,0.011213806370366407,0.0004408952544213401,3.7829819124980775
qsofa,diag_type,auroc_gap,0.017585560308123416,0.033934389247053165,-0.01634882893892975,-92.96734737179585
qsofa,diag_type,ece_gap,0.007266055089036863,0.02924131987507908,-0.02197526478604222,-302.4373544758673
apache2,race_cat,eod,0.12467518580464065,0.08338987775695206,0.041285308047688596,33.11429438122552
apache2,race_cat,ppg,0.03300736968369425,0.02772632026481217,0.005281049418882078,15.999606965019494
apache2,race_cat,cal_gap,0.029303755443036778,0.020280786335608616,0.009022969107428162,30.791169838172465
apache2,race_cat,auroc_gap,0.019429613143346125,0.021871531727044813,-0.002441918583698688,-12.568024724336565
apache2,race_cat,ece_gap,0.015398118710362478,0.018001534400939267,-0.0026034156905767897,-16.907362123561033
apache2,sex,eod,0.03250357581367014,0.03744543109144988,-0.004941855277779739,-15.20403572243681
apache2,sex,ppg,0.0007202420844766577,0.0016760139175232835,-0.0009557718330466258,-132.7014699149535
apache2,sex,cal_gap,0.004382022118631176,0.001744435571205139,0.002637586547426037,60.19108247335701
apache2,sex,auroc_gap,0.0027404786502440714,0.004330988513732592,-0.0015905098634885206,-58.037666644360364
apache2,sex,ece_gap,0.000395686478444051,0.00973349647353236,-0.00933780999508831,-2359.901210626951
apache2,age_group,eod,0.5823584929957886,0.5236077209800141,0.0587507720157745,10.088420229530225
apache2,age_group,ppg,0.07274208221039094,0.0661905506737389,0.006551531536652042,9.006521861311498
apache2,age_group,cal_gap,0.050613040340767156,0.024691490269825117,0.02592155007094204,51.21516094749019
apache2,age_group,auroc_gap,0.1452252641367816,0.1017518021986501,0.04347346193813151,29.935192197127403
apache2,age_group,ece_gap,0.026549591372733196,0.1669686565274163,-0.1404190651546831,-528.8935079388659
apache2,diag_type,eod,0.05642549106703032,0.09573272186729526,-0.039307230800264936,-69.66218646386285
apache2,diag_type,ppg,0.037804140404248066,0.030676629742416472,0.007127510661831593,18.853783171937096
apache2,diag_type,cal_gap,0.023684651169567535,0.011213806370366407,0.012470844799201127,52.65369842231388
apache2,diag_type,auroc_gap,0.026793400324976013,0.033934389247053165,-0.007140988922077152,-26.65204429249144
apache2,diag_type,ece_gap,0.011475640621297285,0.02924131987507908,-0.017765679253781794,-154.81209145580092
