score,axis,metric,score_fairness_gap,ml_fairness_gap,improvement,pct_improvement
sofa,race_cat,eod,0.05858636072616574,0.02394579161496424,0.0346405691112015,59.127361184137165
sofa,race_cat,ppg,0.02748296203675621,0.020258890573968277,0.0072240714627879316,26.285636363090443
sofa,race_cat,cal_gap,0.02074838276502342,0.014617775628097244,0.006130607136926175,29.54739753143963
sofa,race_cat,auroc_gap,0.025271240166902187,0.046985057828544785,-0.021713817661642598,-85.92303946397234
sofa,sex,eod,0.05615793670893998,0.0018612913673434761,0.054296645341596506,96.68561297579302
sofa,sex,ppg,0.013346470833582064,0.0033325693427276454,0.010013901490854418,75.0303328551671
sofa,sex,cal_gap,0.011767764739918373,0.0016968114863602545,0.01007095325355812,85.5808513862929
sofa,sex,auroc_gap,0.009430522612323466,0.0040047271052491284,0.005425795507074338,57.534409598722604
sofa,age_group,eod,0.212260119537663,0.16098233862257005,0.05127778091509294,24.15799116046117
sofa,age_group,ppg,0.11786205887329484,0.10100261150955384,0.01685944736374101,14.304388982263925
sofa,age_group,cal_gap,0.08054677595649093,0.05650579681878996,0.024040979137700966,29.847227095330563
sofa,age_group,auroc_gap,0.12937083562356289,0.09423868708437078,0.03513214853919211,27.15615800876325
sofa,diag_type,eod,0.023996478108009645,0.011633468016880255,0.01236301009112939,51.52010238953696
sofa,diag_type,ppg,0.026573462637514603,0.01954083253730364,0.007032630100210963,26.46486156562365
sofa,diag_type,cal_gap,0.01941524628907974,0.012406026288475211,0.007009220000604529,36.10162805169729
sofa,diag_type,auroc_gap,0.023664317486228992,0.01570628027008325,0.007958037216145741,33.628847401902775
qsofa,race_cat,eod,0.11124891375138818,0.02394579161496424,0.08730312213642394,78.47548276428412
qsofa,race_cat,ppg,0.020519332574089222,0.020258890573968277,0.00026044200012094454,1.2692518101189
qsofa,race_cat,cal_gap,0.015104815647461002,0.014617775628097244,0.0004870400193637582,3.2244022749501466
qsofa,race_cat,auroc_gap,0.03281108941374922,0.046985057828544785,-0.014173968414795568,-43.19871320351857
qsofa,sex,eod,0.05485276675443174,0.0018612913673434761,0.05299147538708826,96.60675025623371
qsofa,sex,ppg,0.006211910177286381,0.0033325693427276454,0.0028793408345587357,46.351939296980476
qsofa,sex,cal_gap,0.004299642093485856,0.0016968114863602545,0.002602830607125602,60.53598300819044
qsofa,sex,auroc_gap,0.019393359866297755,0.0040047271052491284,0.015388632761048626,79.35000880271068
qsofa,age_group,eod,0.15476732833271528,0.16098233862257005,-0.006215010289854772,-4.015712073606313
qsofa,age_group,ppg,0.130180798332246,0.10100261150955384,0.02917818682269216,22.413587254415134
qsofa,age_group,cal_gap,0.06736467550266495,0.05650579681878996,0.010858878683874987,16.1195442609167
qsofa,age_group,auroc_gap,0.08256761034493354,0.09423868708437078,-0.011671076739437236,-14.135175634465227
qsofa,diag_type,eod,0.050042869327183825,0.011633468016880255,0.03840940131030357,76.75299563496286
qsofa,diag_type,ppg,0.027936093016706603,0.01954083253730364,0.008395260479402963,30.05166282336743
qsofa,diag_type,cal_gap,0.011654701624787748,0.012406026288475211,-0.0007513246636874638,-6.446537096149354
qsofa,diag_type,auroc_gap,0.017585560308123416,0.01570628027008325,0.0018792800380401653,10.686495085243642
