score,n_matched_pairs,auroc_elderly_unmatched,auroc_young_unmatched,gap_unmatched,auroc_elderly_matched,auroc_young_matched,gap_matched,gap_matched_ci_lo,gap_matched_ci_hi,mortality_elderly_matched,mortality_young_matched
sofa,14040,0.7352866152486982,0.8439827159457576,0.10869610069705937,0.7352866152486982,0.8539354066130137,0.1186487913643155,0.10027495804432746,0.1351434083038553,0.1334045584045584,0.075997150997151
qsofa,14040,0.6814191678707309,0.7497676703891458,0.06834850251841496,0.6814191678707309,0.7627062435419364,0.08128707567120552,0.06355617391833346,0.0997404815301202,0.1334045584045584,0.075997150997151
apache2,14040,0.7670332533217756,0.8743436779993741,0.10731042467759844,0.7670332533217756,0.8922112836038746,0.12517803028209895,0.1100317940494146,0.14147565842687707,0.1334045584045584,0.075997150997151
news2,14040,0.7615349800698071,0.8466600574931403,0.0851250774233332,0.7615349800698071,0.8675412367883091,0.10600625671850195,0.09044982917613398,0.12141932128625495,0.1334045584045584,0.075997150997151
