model,age_gap,18-29,30-39,40-49,50-59,60-69,70-79,80+
SOFA,0.12937083562356289,0.8646574508722611,0.8403228399000502,0.8370355707338916,0.8179444030913445,0.7765981797291888,0.7595445747308684,0.7352866152486982
APACHE-II,0.14683852361609673,0.9138717769378724,0.8662094562670785,0.8618122278389391,0.8370535124284975,0.8117195692062701,0.7962868569065102,0.7670332533217756
GRU,0.09998862864710234,0.9283511775861837,0.9252344096286951,0.897166469001881,0.8927706496540818,0.8738542265599555,0.8604096058048002,0.8283625489390813
FAFT,0.1017518021986501,0.9375159723996933,0.9298100855808245,0.898429371865491,0.8990535642109461,0.8784543391043653,0.8645408792811575,0.8357641702010432
GA-FAFT,0.09786758905998627,0.9346274900130469,0.9291924618734262,0.8911565209807378,0.8961039250757994,0.8754171020368826,0.8640034670577259,0.8367599009530606
