score,axis,group,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,0.7150684931506849,0.22309859497474763,0.08228057998985935,1.0613866017995277,0.002910277597901245,971,0.09783728115345006,0.6606833753282506,0.7704297751316712
sofa,race_cat,Black,0.8657142857142857,0.16310207991242476,0.04438612483133112,0.7729220122667034,-0.0414595894906786,110,0.045454545454545456,0.7506230529595015,0.9549646146733525
sofa,race_cat,Hispanic,0.9084745762711866,0.3659649122807017,0.060578302288971694,1.7722963394902265,-0.10226966001508803,64,0.078125,0.81015625,0.9809212773224043
sofa,race_cat,Other,0.7121212121212122,0.33550789927013913,0.09223819005721853,0.8724347956101254,0.012069914335394033,75,0.12,0.5315998134328358,0.8662073654614252
sofa,sex,Female,0.7260222222222221,0.2389791508901507,0.08330255085458294,1.1391807055979395,0.00046432087937131605,500,0.1,0.6476634042348378,0.7954633833051802
sofa,sex,Male,0.7207776319594279,0.22352186908172075,0.076415382417355,0.8618122280233242,0.013087676156149738,738,0.09078590785907859,0.6548434762564467,0.7847111220819885
sofa,age_group,70-79,0.6691429801894918,0.23981694321540253,0.10254027473108931,1.0047848902564305,0.012340019716020556,294,0.12244897959183673,0.5769358795811429,0.7608121741327942
sofa,age_group,18-29,0.962121212121212,0.25,0.01887663466926761,1.226894064104251,-0.08224209264773141,67,0.014925373134328358,0.9146905048076923,1.0
sofa,age_group,60-69,0.719140625,0.17689352635175276,0.05626104967550695,0.6465710977552485,-0.0009978118598551466,256,0.0625,0.5750659146451685,0.8566097910035284
sofa,age_group,40-49,0.8720588235294118,0.3754545454545455,0.04019073268581671,0.6486443495757002,-0.012786975845091239,89,0.0449438202247191,0.7556818181818182,1.0
sofa,age_group,50-59,0.7886054421768708,0.43415169786455926,0.05504900138418039,1.0865558789832772,-0.04302653620939394,211,0.07109004739336493,0.6503736400719421,0.8984017475484033
sofa,age_group,80+,0.7073737946681793,0.3139894172094401,0.14070076403789442,1.5833803188421074,0.02973379890780939,248,0.17338709677419356,0.6078318362083912,0.791148240576143
sofa,age_group,30-39,0.8063380281690141,0.19696969696969696,0.029387940521793596,0.440646956949561,-0.012309510364912561,73,0.0273972602739726,0.5713531187122736,1.0
sofa,diag_type,Medical,0.7087008481925673,0.22723158374831465,0.08302857629945473,0.9468446720450424,0.010336611858974332,1029,0.09912536443148688,0.6543658346647271,0.7596380104025342
sofa,diag_type,Cardiac,0.7732067510548524,0.16088942060273512,0.06409475897934107,0.6370886111468799,0.022039482095679505,170,0.07058823529411765,0.6399592822636301,0.8813688265085996
sofa,diag_type,Surgical,1.0,1.0,0.04393111827365542,3.805642125104131,-0.3072788028054077,39,0.07692307692307693,0.9999999999999999,1.0
qsofa,race_cat,White,0.6736361451574142,0.15065183968271084,0.08497326932184787,1.0944583197196958,-0.004310317425204144,971,0.09783728115345006,0.6255849048726795,0.7206064232720502
qsofa,race_cat,Black,0.7628571428571429,0.09611528822055138,0.04466209876431405,0.738877032304902,-0.026127753044945808,110,0.045454545454545456,0.5854882064975523,0.8738317757009346
qsofa,race_cat,Hispanic,0.7355932203389831,0.14754901960784314,0.06820164434611169,1.2193766767619485,-0.03263399160805125,64,0.078125,0.5310672514619883,0.9016393442622951
qsofa,race_cat,Other,0.5185185185185186,0.12583430888515634,0.10823942725997654,0.07436186828744529,0.11370036936204174,75,0.12,0.32241701680672263,0.7111607142857143
qsofa,sex,Female,0.6662222222222223,0.15682421344346031,0.0867555108024943,1.0189721814143395,0.005955818070501051,500,0.1,0.5860310107158133,0.7367836219234956
qsofa,sex,Male,0.6665035478345975,0.13358938950384705,0.08000458068087431,0.9686907020472563,-0.002701514278506484,738,0.09078590785907859,0.6113564360330053,0.7193692206528245
qsofa,age_group,70-79,0.628391472868217,0.16259671391021108,0.10542465883775151,0.942730093712024,0.02746493618375595,294,0.12244897959183673,0.5413049821386686,0.713780061994513
qsofa,age_group,18-29,0.5378787878787878,0.022727272727272728,0.023068119059187986,0.02775302897959618,0.007530980834920943,67,0.014925373134328358,0.44696969696969696,0.6445808895405669
qsofa,age_group,60-69,0.661328125,0.09592003797566456,0.05850123672229449,0.69480963930555,-0.0015024994407841635,256,0.0625,0.5413075801946122,0.7742147864679682
qsofa,age_group,40-49,0.7411764705882353,0.08391608391608392,0.04325835437717106,0.6056998240650113,-0.003586191457963163,89,0.0449438202247191,0.5581395348837209,0.9022988505747126
qsofa,age_group,50-59,0.6897959183673469,0.12277502965084325,0.06433972551877086,0.8955543405565949,-0.009855011450157047,211,0.07109004739336493,0.5599744851428148,0.8117061769389677
qsofa,age_group,80+,0.6638116846284742,0.25283906761003977,0.14223974886562363,1.7880257998622797,-0.0006276032687229927,248,0.17338709677419356,0.5811914797913871,0.7414328274413213
qsofa,age_group,30-39,0.7323943661971831,0.05115089514066496,0.030181812669272848,0.39762533155035507,-0.0057269913014654575,73,0.0273972602739726,0.5211267605633803,0.9166666666666667
qsofa,diag_type,Medical,0.665402838589589,0.14754525134794705,0.08630523511756585,1.0189743499090158,0.0020437218582558536,1029,0.09912536443148688,0.620559316480682,0.7117225401533289
qsofa,diag_type,Cardiac,0.6133966244725738,0.09484126984126984,0.0657011057119834,0.5953344752149513,0.01601430050481035,170,0.07058823529411765,0.45831586021505377,0.7541666666666665
qsofa,diag_type,Surgical,0.8888888888888888,0.2727272727272727,0.06266310350563978,1.9505966561381547,-0.08976021977053537,39,0.07692307692307693,0.8157894736842105,0.9558823529411764
apache2,race_cat,White,0.7463169911079067,0.23120497617071442,0.0817109413038338,0.9434908150622648,0.010079034134351239,971,0.09783728115345006,0.6984446747060004,0.7922284307249108
apache2,race_cat,Black,0.939047619047619,0.34487179487179487,0.038955101455274296,0.8773983119639536,-0.04906476562037765,110,0.045454545454545456,0.8718933887158187,0.9876190476190476
apache2,race_cat,Hispanic,0.8966101694915255,0.6736363636363636,0.05485646653041649,2.2187043058145286,-0.11667263138322442,64,0.078125,0.663036902601331,1.0
apache2,race_cat,Other,0.7626262626262625,0.22970225566606364,0.0972295093434392,1.0903506678422905,0.0016861168230159346,75,0.12,0.6413766571969696,0.8684726812366739
apache2,sex,Female,0.7642444444444444,0.21845783603393548,0.08300371028506362,0.9601349423927286,-0.0014447523804027446,500,0.1,0.694450237056958,0.8233378524675558
apache2,sex,Male,0.762817803679071,0.27059274109742304,0.07479840728158128,1.026156064625039,-0.00258529024262219,738,0.09078590785907859,0.7043188516582105,0.8225406647404987
apache2,age_group,70-79,0.7632428940568475,0.32638141066842974,0.09595761069774553,1.0865150029731596,0.001540706326901009,294,0.12244897959183673,0.6779910004542358,0.8371428975905372
apache2,age_group,18-29,0.4166666666666667,0.024390243902439025,0.022001842319790056,-0.14703173752579077,0.024063137815925534,67,0.014925373134328358,0.303030303030303,0.5378787878787878
apache2,age_group,60-69,0.7916666666666666,0.2136411557207593,0.05492585812755536,1.0331407647557018,-0.03319851102941146,256,0.0625,0.678271782659849,0.8932121174829765
apache2,age_group,40-49,0.8632352941176471,0.4134199134199134,0.036565580325473516,0.9646605854252689,-0.02189375183612837,89,0.0449438202247191,0.5977011494252873,0.9999999999999999
apache2,age_group,50-59,0.8071428571428572,0.2825448980503629,0.05780778585808746,1.1118658292311108,-0.016506691816365424,211,0.07109004739336493,0.6788199061510628,0.9130090503538096
