score,axis,metric,fair_vs_gt,fair_vs_score,rsb_gap,rsb_gap_ci_lo,rsb_gap_ci_hi
sofa,race_cat,eod,0.5755007704160247,0.45643640209415415,0.1190643683218705,0.006446568936277239,0.7529928624622032
sofa,race_cat,ppg,0.12088974854932301,0.2979797979797979,0.1770900494304749,0.006010843731431935,0.4167112495081644
sofa,race_cat,cal_gap,0.17741171109592163,0.29727917170985746,0.11986746061393583,0.023933255496321634,0.32159326050270753
sofa,race_cat,auroc_gap,0.33164983164983164,0.08041037306642396,0.2512394585834077,0.014543705901903991,0.4588614278839294
sofa,sex,eod,0.21822828233398334,0.17837545236477348,0.03985282996920986,0.0030139311576065004,0.15608761376239144
sofa,sex,ppg,0.017909658309531368,0.06383158785570708,0.045921929546175716,0.003088417169030471,0.11420748312360893
sofa,sex,cal_gap,0.025293525297161827,0.055422529135197754,0.030129003838035927,0.0020044911976491464,0.08259299202445579
sofa,sex,auroc_gap,0.04318786099309713,0.008160982752049906,0.03502687824104722,0.0014586288209309517,0.11694058545255319
sofa,age_group,eod,0.8664079822616407,1.2381576021283456,0.37174961986670485,0.04566041516172516,0.6379731675279258
sofa,age_group,ppg,0.11087607967565663,0.2997658079625293,0.18888972828687264,0.006252805002805007,0.37915684830633284
sofa,age_group,cal_gap,0.1173160173160173,0.27745662968228624,0.16014061236626892,0.04799596765234473,0.2945571565873391
sofa,age_group,auroc_gap,0.2485896973134636,0.07923292582038799,0.1693567714930756,0.010290871308885197,0.5095815753116953
sofa,diag_type,eod,0.2932489451476793,0.26696626728391765,0.02628267786376165,0.00240744776376199,0.24343155444969625
sofa,diag_type,ppg,0.0261569416498994,0.07154501964347748,0.04538807799357808,0.0035095619566319416,0.2329888944472456
sofa,diag_type,cal_gap,0.029780725316850488,0.18908230051637784,0.15930157519952734,0.05260409552751637,0.2787380790096509
sofa,diag_type,auroc_gap,0.1208253712365287,0.05476171159548726,0.06606365964104144,0.0039356344535748326,0.18605087432471754
qsofa,race_cat,eod,0.5755007704160247,0.7351694915254237,0.159668721109399,0.016406045131201568,0.7630661266932698
qsofa,race_cat,ppg,0.12088974854932301,0.13131313131313127,0.010423382763808262,0.0018870192307692219,0.37555724310584704
qsofa,race_cat,cal_gap,0.17741171109592163,0.1458402305134054,0.03157148058251624,0.00477947370849975,0.20088430681522756
qsofa,race_cat,auroc_gap,0.33164983164983164,0.06718432035318889,0.26446551129664275,0.012149941637046888,0.41113776920844863
qsofa,sex,eod,0.21822828233398334,0.15941518621490103,0.05881309611908231,0.0019517354455586167,0.20093728097742353
qsofa,sex,ppg,0.017909658309531368,0.009002433090024353,0.008907225219507015,0.0008356575210464672,0.06331951411422705
qsofa,sex,cal_gap,0.025293525297161827,0.026478862390240377,0.00118533709307855,0.0006120482567198306,0.05317806058838297
qsofa,sex,auroc_gap,0.04318786099309713,0.003349499030183334,0.03983836196291379,0.0010679116773209018,0.10690275572333974
qsofa,age_group,eod,0.8664079822616407,1.2297916774093745,0.3633836951477337,0.029155847270611213,0.6255281561606254
qsofa,age_group,ppg,0.11087607967565663,0.2666666666666667,0.1557905869910101,0.002447250382144868,0.34931318681318685
qsofa,age_group,cal_gap,0.1173160173160173,0.2390134375428493,0.12169742022683198,0.029720855811399337,0.27703215091432876
qsofa,age_group,auroc_gap,0.2485896973134636,0.1837867615899651,0.06480293572349849,0.0031269230523041903,0.4699480267317909
qsofa,diag_type,eod,0.2932489451476793,0.3422799422799423,0.049030997132263,0.006414089601429845,0.42706403228276013
qsofa,diag_type,ppg,0.0261569416498994,0.09188464118041584,0.06572769953051644,0.0025290900523448007,0.2227379914879915
qsofa,diag_type,cal_gap,0.029780725316850488,0.13551505405163944,0.10573432873478895,0.017556672579729794,0.22189407244192727
qsofa,diag_type,auroc_gap,0.1208253712365287,0.10763435049149339,0.013191020745035309,0.004130375520356053,0.20389366635655268
apache2,race_cat,eod,0.5755007704160247,0.4085369827305312,0.16696378768549347,0.012217120601838657,0.7445373040492489
apache2,race_cat,ppg,0.12088974854932301,0.13947990543735223,0.018590156888029216,0.006218880483586334,0.3333333333333333
apache2,race_cat,cal_gap,0.17741171109592163,0.1867282003881391,0.009316489292217456,0.004872861244150106,0.2658840751821351
apache2,race_cat,auroc_gap,0.33164983164983164,0.053392278219864364,0.2782575534299673,0.018227962891628056,0.49075787184243047
apache2,sex,eod,0.21822828233398334,0.13792030301803987,0.08030797931594347,0.0060282321639461775,0.19509379747412953
apache2,sex,ppg,0.017909658309531368,0.03986036178990804,0.02195070348037667,0.0008027567967500754,0.08791389530437
apache2,sex,cal_gap,0.025293525297161827,0.03132943140920619,0.0060359061120443605,0.0012617619364042145,0.07118437771800931
apache2,sex,auroc_gap,0.04318786099309713,0.0398811804722532,0.00330668052084393,0.0016368647747618318,0.10530805646693495
apache2,age_group,eod,0.8664079822616407,1.2152876376988984,0.34887965543725763,0.027627379461829665,0.6318630214782548
apache2,age_group,ppg,0.11087607967565663,0.32142857142857145,0.21055249175291482,0.012709085406119359,0.5646477758193165
apache2,age_group,cal_gap,0.1173160173160173,0.35169548430418,0.2343794669881627,0.12791178750069085,0.3770836334371591
apache2,age_group,auroc_gap,0.2485896973134636,0.22615302549513072,0.022436671818332865,0.004269792934361841,0.3844189486641358
apache2,diag_type,eod,0.2932489451476793,0.2861497661864858,0.0070991789611934975,0.002515249153569689,0.2255005356885074
apache2,diag_type,ppg,0.0261569416498994,0.16096579476861173,0.13480885311871232,0.004206718864792818,0.29858946039343875
apache2,diag_type,cal_gap,0.029780725316850488,0.16891355120697996,0.13913282589012946,0.02820518063226923,0.26709696119354365
apache2,diag_type,auroc_gap,0.1208253712365287,0.07898245614035093,0.04184291509617777,0.003410025245038693,0.20281577893765837
news2,race_cat,eod,0.5755007704160247,0.4134474116325295,0.16205335878349514,0.009055529019597566,0.7506908729130337
news2,race_cat,ppg,0.12088974854932301,0.10606060606060608,0.014829142488716932,0.0051668123543124,0.3424947970637622
news2,race_cat,cal_gap,0.17741171109592163,0.1941602367918157,0.01674852569589408,0.010847520099903118,0.2653990413252419
news2,race_cat,auroc_gap,0.33164983164983164,0.09552659539314834,0.2361232362566833,0.018316671083508484,0.42357211896655717
news2,sex,eod,0.21822828233398334,0.1524874894952828,0.06574079283870055,0.003458899888067713,0.1955054566754426
news2,sex,ppg,0.017909658309531368,0.009309214006135602,0.008600444303395766,0.0010454240644026864,0.0708181269087088
news2,sex,cal_gap,0.025293525297161827,0.03744133867532803,0.0121478133781662,0.001524677869226108,0.07038883977998323
news2,sex,auroc_gap,0.04318786099309713,0.026035453358053795,0.017152407635043332,0.0008911491420908385,0.1069286060499553
news2,age_group,eod,0.8664079822616407,1.208755285898143,0.34234730363650223,0.04074097351712845,0.6106427681426357
news2,age_group,ppg,0.11087607967565663,0.2571428571428571,0.1462667774672005,0.009922363372012823,0.3931794654620741
news2,age_group,cal_gap,0.1173160173160173,0.28973790872727045,0.17242189141125314,0.06689724421258139,0.305130576271563
news2,age_group,auroc_gap,0.2485896973134636,0.1524068641012768,0.09618283321218679,0.006123531515364495,0.4852320938845715
news2,diag_type,eod,0.2932489451476793,0.321136726611234,0.027887781463554695,0.0038637581642160398,0.2782813323021728
news2,diag_type,ppg,0.0261569416498994,0.18913480885311873,0.16297786720321933,0.004569196746231435,0.35470559346567404
news2,diag_type,cal_gap,0.029780725316850488,0.19897345902392163,0.16919273370707114,0.04523047177462644,0.2967621960136634
news2,diag_type,auroc_gap,0.1208253712365287,0.06576234535975634,0.055063025876772365,0.003690208076970045,0.18715135188421594
