score,axis,metric,score_fairness_gap,ml_fairness_gap,improvement,pct_improvement
sofa,race_cat,eod,0.6926553672316385,0.5755007704160247,0.1171545968156138,16.91383657125909
sofa,race_cat,ppg,0.11461794019933555,0.12088974854932301,-0.006271808349987459,-5.471925545931088
sofa,race_cat,cal_gap,0.14011012585812355,0.17741171109592163,-0.037301585237798085,-26.623047413125526
sofa,race_cat,auroc_gap,0.1963533641499744,0.33164983164983164,-0.13529646749985724,-68.90458336966307
sofa,sex,eod,0.07351444466687912,0.21822828233398334,-0.14471383766710422,-196.8508887237816
sofa,sex,ppg,0.020816864295125165,0.017909658309531368,0.002907205985593797,13.965628753580328
sofa,sex,cal_gap,0.022695778546580947,0.025293525297161827,-0.00259774675058088,-11.445946854166072
sofa,sex,auroc_gap,0.005244590262794224,0.04318786099309713,-0.0379432707303029,-723.4744532757342
sofa,age_group,eod,0.4308932346723044,0.8664079822616407,-0.43551474758933634,-101.07254246415509
sofa,age_group,ppg,0.22133119486768243,0.11087607967565663,0.1104551151920258,49.904901682773975
sofa,age_group,cal_gap,0.15109929078014184,0.1173160173160173,0.03378327346412453,22.35832695818615
sofa,age_group,auroc_gap,0.29297823193172023,0.2485896973134636,0.04438853461825665,15.150796127611821
sofa,diag_type,eod,0.33554645486886736,0.2932489451476793,0.042297509721188065,12.60556000739691
sofa,diag_type,ppg,0.04320388349514563,0.0261569416498994,0.01704694184524623,39.45696651821037
sofa,diag_type,cal_gap,0.0830636212960367,0.029780725316850488,0.053282895979186215,64.14709008325954
sofa,diag_type,auroc_gap,0.2912991518074327,0.1208253712365287,0.170473780570904,58.52189390637088
qsofa,race_cat,eod,0.2934086629001884,0.5755007704160247,-0.28209210751583624,-96.14307387093004
qsofa,race_cat,ppg,0.14047619047619048,0.12088974854932301,0.019586441926867468,13.94289086319379
qsofa,race_cat,cal_gap,0.12286678488051488,0.17741171109592163,-0.054544926215406755,-44.39354888992207
qsofa,race_cat,auroc_gap,0.2443386243386243,0.33164983164983164,-0.08731120731120734,-35.73369030276785
qsofa,sex,eod,0.09545145608272598,0.21822828233398334,-0.12277682625125735,-128.6275047966256
qsofa,sex,ppg,0.00023400023400023395,0.017909658309531368,-0.017675658075531134,-7553.692478578232
qsofa,sex,cal_gap,0.03420731480226413,0.025293525297161827,0.008913789505102306,26.058138607571486
qsofa,sex,auroc_gap,0.00028132561237526055,0.04318786099309713,-0.042906535380721866,-15251.556734723743
qsofa,age_group,eod,0.31862745098039225,0.8664079822616407,-0.5477805312812485,-171.91881289442256
qsofa,age_group,ppg,0.17727272727272728,0.11087607967565663,0.06639664759707065,37.454519157321904
qsofa,age_group,cal_gap,0.14119434935478187,0.1173160173160173,0.023878332038764563,16.911676811346748
qsofa,age_group,auroc_gap,0.20329768270944748,0.2485896973134636,-0.045292014604016106,-22.278667420300767
qsofa,diag_type,eod,0.172712438381604,0.2932489451476793,-0.1205365067660753,-69.79028719388049
qsofa,diag_type,ppg,0.046103896103896105,0.0261569416498994,0.019946954453996704,43.26522515373933
qsofa,diag_type,cal_gap,0.09447034447034446,0.029780725316850488,0.06468961915349397,68.47611228283489
qsofa,diag_type,auroc_gap,0.275492264416315,0.1208253712365287,0.15466689317978632,56.14200947074822
apache2,race_cat,eod,0.34998513232233125,0.5755007704160247,-0.2255156380936934,-64.43577662779022
apache2,race_cat,ppg,0.14456233421750664,0.12088974854932301,0.02367258566818363,16.375348251202254
apache2,race_cat,cal_gap,0.11786859732885417,0.17741171109592163,-0.05954311376706746,-50.516520189802364
apache2,race_cat,auroc_gap,0.1927306279397123,0.33164983164983164,-0.13891920371011934,-72.07946406607174
apache2,sex,eod,0.07444333227058947,0.21822828233398334,-0.14378495006339387,-193.14684831780343
